practical_salinity,nitrate_concentration,time,seawater_temperature,salinity_corrected_nitrate,depth,,time,,,ctd_depth,ctd_temperature_1,discrete_nitrate
33.979866,31.35,2020-08-11T20:41:10Z,7.329478,32.228283,192.8358,,8:41:10 PM,,,9.638,13.1968,3.016511
33.979908,30.77,2020-08-11T20:41:11Z,7.3294654,32.380974,192.83339,,8:41:11 PM,,,20.238,8.9875,11.696032
33.979748,30.82,2020-08-11T20:41:50Z,7.329339,32.045753,192.85713,,8:41:50 PM,,,40.226,8.0475,21.101774
33.979843,31.1,2020-08-11T20:41:51Z,7.3292933,32.270596,192.86047,,8:41:51 PM,,,60.422,8.4938,26.163154
33.979885,31.38,2020-08-11T20:42:31Z,7.329561,32.21208,191.50536,,8:42:31 PM,,,99.679,7.8302,30.881086
33.979942,31.28,2020-08-11T20:42:32Z,7.3296037,32.189392,191.4523,,8:42:32 PM,,,119.891,7.5981,31.181773
33.979786,31.74,2020-08-11T20:43:11Z,7.3308916,32.16998,189.52367,,8:43:11 PM,,,140.684,7.4824,32.224146
33.979904,30.82,2020-08-11T20:43:12Z,7.331076,32.118023,189.4758,,8:43:12 PM,,,180.139,7.3483,33.255805
33.979527,31.5,2020-08-11T20:43:51Z,7.334368,32.300972,187.58841,,8:43:51 PM,,,199.795,7.3251,33.155072
33.979424,31.33,2020-08-11T20:43:52Z,7.3345404,32.16124,187.54163,,8:43:52 PM,,,219.52,7.2796,33.274607
33.97856,32.43,2020-08-11T20:44:31Z,7.3418784,32.267193,185.61935,,8:44:31 PM,,,,,
33.97868,32.39,2020-08-11T20:44:33Z,7.3417654,32.360847,185.56609,,8:44:33 PM,,,,,
33.977993,31.53,2020-08-11T20:45:12Z,7.3460994,32.211773,183.63754,,8:45:12 PM,,,,,
33.977898,31.63,2020-08-11T20:45:13Z,7.3462715,32.26612,183.58871,,8:45:13 PM,,,,,
33.97776,31.31,2020-08-11T20:45:52Z,7.348125,32.29106,181.70244,,8:45:52 PM,,,,,
33.977745,31.54,2020-08-11T20:45:53Z,7.3482227,32.35546,181.64449,,8:45:53 PM,,,,,
33.97726,31.63,2020-08-11T20:46:31Z,7.362561,32.155582,179.76817,,8:46:31 PM,,,,,
33.976814,31.31,2020-08-11T20:46:32Z,7.363413,32.17491,179.7124,,8:46:32 PM,,,,,
33.975857,31.94,2020-08-11T20:47:11Z,7.37308,32.130127,177.81749,,8:47:11 PM,,,,,
33.97466,31.29,2020-08-11T20:47:50Z,7.395252,32.05576,175.88564,,8:47:50 PM,,,,,
33.974792,32.11,2020-08-11T20:47:51Z,7.3948565,32.037277,175.8376,,8:47:51 PM,,,,,
33.973095,31.4,2020-08-11T20:48:30Z,7.4017625,32.07998,173.90515,,8:48:30 PM,,,,,
33.973446,30.82,2020-08-11T20:48:31Z,7.401703,32.118145,173.8532,,8:48:31 PM,,,,,
33.974033,31.69,2020-08-11T20:49:11Z,7.396576,32.127415,171.94281,,8:49:11 PM,,,,,
33.97418,31.8,2020-08-11T20:49:12Z,7.3967676,32.150215,171.89435,,8:49:12 PM,,,,,
33.973423,31.52,2020-08-11T20:49:50Z,7.3983464,32.162888,170.03629,,8:49:50 PM,,,,,
33.97369,30.6,2020-08-11T20:49:51Z,7.398092,32.23657,169.9856,,8:49:51 PM,,,,,
33.973305,31.55,2020-08-11T20:50:31Z,7.401697,32.05983,168.02643,,8:50:31 PM,,,,,
33.97318,31.28,2020-08-11T20:50:32Z,7.401925,32.155346,167.96786,,8:50:32 PM,,,,,
33.97149,31.3,2020-08-11T20:51:11Z,7.418535,31.994213,166.13257,,8:51:11 PM,,,,,
33.971996,31.79,2020-08-11T20:51:12Z,7.418203,32.074467,166.08694,,8:51:12 PM,,,,,
33.972828,31.4,2020-08-11T20:51:51Z,7.425729,31.965899,164.25157,,8:51:51 PM,,,,,
33.971806,32.23,2020-08-11T20:51:52Z,7.4260063,32.12744,164.20816,,8:51:52 PM,,,,,
33.97122,31.26,2020-08-11T20:52:32Z,7.431218,32.027313,162.32753,,8:52:32 PM,,,,,
33.971264,31.83,2020-08-11T20:52:33Z,7.431967,31.944433,162.28008,,8:52:33 PM,,,,,
33.969704,31.64,2020-08-11T20:53:12Z,7.4384394,32.096592,160.42152,,8:53:12 PM,,,,,
33.969765,31.52,2020-08-11T20:53:13Z,7.4384675,32.072857,160.37247,,8:53:13 PM,,,,,
33.969406,31.16,2020-08-11T20:53:52Z,7.439619,31.828346,158.52771,,8:53:52 PM,,,,,
33.969517,31.05,2020-08-11T20:53:53Z,7.439619,32.03065,158.48016,,8:53:53 PM,,,,,
33.96916,30.55,2020-08-11T20:54:32Z,7.441965,32.114403,156.64404,,8:54:32 PM,,,,,
33.96909,31.58,2020-08-11T20:54:33Z,7.4419227,31.98228,156.59682,,8:54:33 PM,,,,,
33.968563,31.16,2020-08-11T20:55:13Z,7.447344,31.814692,154.70102,,8:55:13 PM,,,,,
33.968403,31.34,2020-08-11T20:55:14Z,7.447348,32.08671,154.65369,,8:55:14 PM,,,,,
33.967575,31.06,2020-08-11T20:55:53Z,7.457503,31.909592,152.82549,,8:55:53 PM,,,,,
33.96656,30.97,2020-08-11T20:56:33Z,7.469089,31.958174,150.9469,,8:56:33 PM,,,,,
33.966446,31.17,2020-08-11T20:56:34Z,7.4699697,31.85177,150.89319,,8:56:34 PM,,,,,
33.962513,31.07,2020-08-11T20:57:13Z,7.4934697,31.884733,149.0205,,8:57:13 PM,,,,,
33.963043,31.15,2020-08-11T20:57:14Z,7.4925995,31.962046,148.97473,,8:57:14 PM,,,,,
33.960835,31.24,2020-08-11T20:57:53Z,7.513402,31.842495,147.14015,,8:57:53 PM,,,,,
33.96089,31.24,2020-08-11T20:57:54Z,7.51315,31.785006,147.09233,,8:57:54 PM,,,,,
33.96079,32.04,2020-08-11T20:58:34Z,7.514952,31.835035,145.2441,,8:58:34 PM,,,,,
33.960598,31.97,2020-08-11T20:58:35Z,7.5147185,31.731197,145.1995,,8:58:35 PM,,,,,
33.958084,30.74,2020-08-11T20:59:14Z,7.5309386,31.653654,143.34515,,8:59:14 PM,,,,,
33.957977,30.72,2020-08-11T20:59:15Z,7.5311117,31.791195,143.30527,,8:59:15 PM,,,,,
33.956085,30.73,2020-08-11T20:59:54Z,7.538155,31.45527,141.44417,,8:59:54 PM,,,,,
33.955994,31,2020-08-11T20:59:55Z,7.538091,31.517473,141.39691,,8:59:55 PM,,,,,
33.95531,30.63,2020-08-11T21:00:34Z,7.539812,31.49753,139.53894,,9:00:34 PM,,,,,
33.95528,31.17,2020-08-11T21:00:35Z,7.539767,31.54459,139.50793,,9:00:35 PM,,,,,
33.953968,30.4,2020-08-11T21:01:14Z,7.5445647,31.521603,137.63396,,9:01:14 PM,,,,,
33.954002,30.59,2020-08-11T21:01:15Z,7.5446453,31.52224,137.5929,,9:01:15 PM,,,,,
33.95252,30.51,2020-08-11T21:01:55Z,7.5507336,31.447447,135.73895,,9:01:55 PM,,,,,
33.952465,30.27,2020-08-11T21:01:56Z,7.550771,31.541235,135.70354,,9:01:56 PM,,,,,
33.951923,31.32,2020-08-11T21:02:35Z,7.5550885,31.573326,133.8551,,9:02:35 PM,,,,,
33.951645,31.07,2020-08-11T21:03:14Z,7.555751,31.547995,132.00116,,9:03:14 PM,,,,,
33.951374,30.05,2020-08-11T21:03:53Z,7.5583906,31.362816,130.17223,,9:03:53 PM,,,,,
33.9513,30.97,2020-08-11T21:03:54Z,7.5586476,31.559351,130.13176,,9:03:54 PM,,,,,
33.950806,30.67,2020-08-11T21:04:34Z,7.559774,31.387775,128.26378,,9:04:34 PM,,,,,
33.950924,31.1,2020-08-11T21:04:35Z,7.559486,31.582432,128.22481,,9:04:35 PM,,,,,
33.94919,30.49,2020-08-11T21:05:14Z,7.5671206,31.419794,126.41379,,9:05:14 PM,,,,,
33.953835,30.16,2020-08-11T21:05:53Z,7.5837903,31.420631,124.61168,,9:05:53 PM,,,,,
33.951897,30.66,2020-08-11T21:05:54Z,7.5894685,31.373554,124.55148,,9:05:54 PM,,,,,
33.946754,30.77,2020-08-11T21:06:33Z,7.6099305,31.30127,122.80467,,9:06:33 PM,,,,,
33.94698,30.61,2020-08-11T21:06:34Z,7.610987,31.309906,122.74657,,9:06:34 PM,,,,,
33.94393,30.36,2020-08-11T21:07:14Z,7.6223044,31.303667,120.94489,,9:07:14 PM,,,,,
33.944435,30.31,2020-08-11T21:07:15Z,7.6225743,31.27756,120.90194,,9:07:15 PM,,,,,
33.941956,30.65,2020-08-11T21:07:54Z,7.648892,31.037903,119.13108,,9:07:54 PM,,,,,
33.941963,30.41,2020-08-11T21:07:55Z,7.6490197,31.051434,119.08922,,9:07:55 PM,,,,,
33.94154,30.09,2020-08-11T21:08:35Z,7.6570435,30.988966,117.277466,,9:08:35 PM,,,,,
33.94182,30.19,2020-08-11T21:08:36Z,7.6569886,31.019735,117.220085,,9:08:36 PM,,,,,
33.942116,30.37,2020-08-11T21:09:15Z,7.6651363,31.005339,115.424355,,9:09:15 PM,,,,,
33.941826,31.32,2020-08-11T21:09:16Z,7.6653767,30.93898,115.38127,,9:09:16 PM,,,,,
33.940853,29.46,2020-08-11T21:09:56Z,7.6708407,30.90184,113.62599,,9:09:56 PM,,,,,
33.9408,29.84,2020-08-11T21:09:57Z,7.670216,31.013067,113.58034,,9:09:57 PM,,,,,
33.943058,29.87,2020-08-11T21:10:36Z,7.676444,31.067482,111.81685,,9:10:36 PM,,,,,
33.94855,31.66,2020-08-11T21:10:37Z,7.67981,31.109673,111.75781,,9:10:37 PM,,,,,
33.934658,30.32,2020-08-11T21:11:16Z,7.727334,30.846441,109.988106,,9:11:16 PM,,,,,
33.935303,30.72,2020-08-11T21:11:17Z,7.7275805,31.03808,109.94344,,9:11:17 PM,,,,,
33.93343,30.5,2020-08-11T21:11:56Z,7.7369976,30.856316,108.18536,,9:11:56 PM,,,,,
33.93319,30.36,2020-08-11T21:11:57Z,7.7369533,30.955385,108.1397,,9:11:57 PM,,,,,
33.921963,30.56,2020-08-11T21:12:36Z,7.8023796,30.638514,106.31979,,9:12:36 PM,,,,,
33.923447,30.43,2020-08-11T21:12:37Z,7.8024225,30.977407,106.2812,,9:12:37 PM,,,,,
33.911896,29.42,2020-08-11T21:13:16Z,7.8535275,29.97811,104.50135,,9:13:16 PM,,,,,
33.912228,29.94,2020-08-11T21:13:17Z,7.8526783,30.16192,104.48078,,9:13:17 PM,,,,,
33.912083,29.83,2020-08-11T21:13:57Z,7.856623,30.126373,102.66609,,9:13:57 PM,,,,,
33.912247,28.93,2020-08-11T21:13:58Z,7.8572702,29.974836,102.60165,,9:13:58 PM,,,,,
33.91096,28.8,2020-08-11T21:14:37Z,7.8594866,29.889118,100.874886,,9:14:37 PM,,,,,
33.90985,29.25,2020-08-11T21:14:38Z,7.8595695,29.925283,100.79686,,9:14:38 PM,,,,,
33.90999,29.25,2020-08-11T21:15:17Z,7.8707957,29.893696,99.06588,,9:15:17 PM,,,,,
33.909145,29.03,2020-08-11T21:15:18Z,7.8746786,29.91328,98.99862,,9:15:18 PM,,,,,
33.902294,28.72,2020-08-11T21:15:56Z,7.8936653,29.844711,97.277885,,9:15:56 PM,,,,,
33.902283,29.36,2020-08-11T21:15:57Z,7.893791,29.740686,97.23713,,9:15:57 PM,,,,,
33.89903,28.34,2020-08-11T21:16:36Z,7.905785,29.635223,95.44676,,9:16:36 PM,,,,,
33.899036,29.18,2020-08-11T21:16:37Z,7.906103,29.57169,95.398796,,9:16:37 PM,,,,,
33.893585,28.2,2020-08-11T21:17:17Z,7.927513,29.560957,93.60637,,9:17:17 PM,,,,,
33.89352,28.32,2020-08-11T21:17:18Z,7.9274745,29.514452,93.57402,,9:17:18 PM,,,,,
33.872746,28.77,2020-08-11T21:17:58Z,7.9798717,29.285322,91.74345,,9:17:58 PM,,,,,
33.872337,28.76,2020-08-11T21:17:59Z,7.980051,29.292116,91.71495,,9:17:59 PM,,,,,
33.866264,28.78,2020-08-11T21:18:37Z,8.001225,29.198769,89.937965,,9:18:37 PM,,,,,
33.866226,28.57,2020-08-11T21:18:38Z,8.001003,29.094759,89.93459,,9:18:38 PM,,,,,
33.861664,28.47,2020-08-11T21:19:18Z,8.016564,29.05936,88.20055,,9:19:18 PM,,,,,
33.862297,28.86,2020-08-11T21:19:19Z,8.016048,29.17338,88.15126,,9:19:19 PM,,,,,
33.843033,28.6,2020-08-11T21:19:58Z,8.034285,29.009888,86.33393,,9:19:58 PM,,,,,
33.84282,28.6,2020-08-11T21:19:59Z,8.034603,28.918867,86.289566,,9:19:59 PM,,,,,
33.842358,28.74,2020-08-11T21:20:38Z,8.035198,28.987068,84.709236,,9:20:38 PM,,,,,
33.842525,28.5,2020-08-11T21:20:39Z,8.035369,29.030981,84.64615,,9:20:39 PM,,,,,
33.83647,28.24,2020-08-11T21:21:18Z,8.048842,28.831305,82.97074,,9:21:18 PM,,,,,
33.83654,28.5,2020-08-11T21:21:19Z,8.049083,28.841015,82.911476,,9:21:19 PM,,,,,
33.812527,27.62,2020-08-11T21:21:59Z,8.119235,28.752293,81.12636,,9:21:59 PM,,,,,
33.812866,28.52,2020-08-11T21:22:00Z,8.119561,28.76624,81.09939,,9:22:00 PM,,,,,
33.774002,27.78,2020-08-11T21:22:40Z,8.224667,28.275473,79.36238,,9:22:40 PM,,,,,
33.775375,27.58,2020-08-11T21:22:41Z,8.221429,28.315775,79.36078,,9:22:41 PM,,,,,
33.76108,27.11,2020-08-11T21:23:20Z,8.348922,27.260569,77.67769,,9:23:20 PM,,,,,
33.76143,26.46,2020-08-11T21:23:21Z,8.347077,27.402283,77.66752,,9:23:21 PM,,,,,
33.75312,26.92,2020-08-11T21:23:59Z,8.380911,27.162666,75.91171,,9:23:59 PM,,,,,
33.752354,26.94,2020-08-11T21:24:38Z,8.384267,27.112345,74.200615,,9:24:38 PM,,,,,
33.75161,26.75,2020-08-11T21:24:39Z,8.384391,27.04838,74.13749,,9:24:39 PM,,,,,
33.738693,26.76,2020-08-11T21:25:18Z,8.414655,26.921978,72.437744,,9:25:18 PM,,,,,
33.739964,26.9,2020-08-11T21:25:19Z,8.411187,26.891525,72.43267,,9:25:19 PM,,,,,
33.72017,26.36,2020-08-11T21:25:59Z,8.440704,26.697584,70.756195,,9:25:59 PM,,,,,
33.721645,27.05,2020-08-11T21:26:00Z,8.438722,26.731192,70.71932,,9:26:00 PM,,,,,
33.70861,25.49,2020-08-11T21:26:39Z,8.451239,26.651852,68.895424,,9:26:39 PM,,,,,
33.709007,26.47,2020-08-11T21:26:40Z,8.451307,26.607077,68.86893,,9:26:40 PM,,,,,
33.704838,25.83,2020-08-11T21:27:19Z,8.453874,26.594013,67.17179,,9:27:19 PM,,,,,
33.70546,26.03,2020-08-11T21:27:20Z,8.453353,26.597794,67.079414,,9:27:20 PM,,,,,
33.701042,26.57,2020-08-11T21:27:59Z,8.457189,26.488594,65.38269,,9:27:59 PM,,,,,
33.70093,26.59,2020-08-11T21:28:00Z,8.457637,26.49748,65.31702,,9:28:00 PM,,,,,
33.683792,26.08,2020-08-11T21:28:39Z,8.474756,26.5151,63.655064,,9:28:39 PM,,,,,
33.679493,26.02,2020-08-11T21:28:40Z,8.478887,26.522854,63.615013,,9:28:40 PM,,,,,
33.657543,25.18,2020-08-11T21:29:19Z,8.502865,25.608248,62.056828,,9:29:19 PM,,,,,
33.658688,24.81,2020-08-11T21:29:21Z,8.501804,25.61444,62.057537,,9:29:21 PM,,,,,
33.618084,24.41,2020-08-11T21:29:59Z,8.479174,25.362886,60.17175,,9:29:59 PM,,,,,
33.62792,24.77,2020-08-11T21:30:00Z,8.481679,25.356087,60.18264,,9:30:00 PM,,,,,
33.599674,25.49,2020-08-11T21:30:40Z,8.44925,25.449886,58.466778,,9:30:40 PM,,,,,
33.599335,24.67,2020-08-11T21:30:41Z,8.452382,25.414633,58.475048,,9:30:41 PM,,,,,
33.540146,24.96,2020-08-11T21:31:19Z,8.383942,25.363382,56.587833,,9:31:19 PM,,,,,
33.549618,25.42,2020-08-11T21:31:20Z,8.386689,25.46275,56.58801,,9:31:20 PM,,,,,
33.52291,24.29,2020-08-11T21:32:00Z,8.3573475,25.041313,55.03695,,9:32:00 PM,,,,,
33.51333,24.8,2020-08-11T21:32:01Z,8.34819,25.124884,54.866333,,9:32:01 PM,,,,,
33.407516,24.35,2020-08-11T21:32:40Z,8.217758,24.825268,53.1462,,9:32:40 PM,,,,,
33.417824,23.8,2020-08-11T21:32:41Z,8.193381,24.82029,53.027225,,9:32:41 PM,,,,,
33.36967,23.84,2020-08-11T21:33:20Z,8.167314,24.156307,51.441483,,9:33:20 PM,,,,,
33.35792,23.77,2020-08-11T21:34:00Z,8.229954,24.00761,49.63955,,9:34:00 PM,,,,,
33.35119,23.55,2020-08-11T21:34:01Z,8.23281,23.931547,49.671364,,9:34:01 PM,,,,,
33.336147,23.73,2020-08-11T21:34:40Z,8.232137,23.936188,48.189873,,9:34:40 PM,,,,,
33.33594,24.21,2020-08-11T21:34:41Z,8.234472,23.961746,48.209644,,9:34:41 PM,,,,,
33.29431,23.69,2020-08-11T21:35:20Z,8.174838,23.682781,46.750492,,9:35:20 PM,,,,,
33.256413,22.74,2020-08-11T21:35:59Z,8.13484,23.512669,44.67433,,9:35:59 PM,,,,,
33.257545,23.06,2020-08-11T21:36:00Z,8.130929,23.324451,44.57914,,9:36:00 PM,,,,,
33.20385,22.73,2020-08-11T21:36:40Z,8.047725,22.864473,43.026855,,9:36:40 PM,,,,,
33.20706,22.29,2020-08-11T21:36:41Z,8.057417,22.6576,43.087967,,9:36:41 PM,,,,,
33.136894,21.36,2020-08-11T21:37:20Z,7.989339,21.915169,41.484787,,9:37:20 PM,,,,,
33.154438,21.67,2020-08-11T21:37:21Z,8.0049515,21.872349,41.550396,,9:37:21 PM,,,,,
33.074368,20.99,2020-08-11T21:37:59Z,7.986463,21.10545,39.845524,,9:37:59 PM,,,,,
33.071896,21.25,2020-08-11T21:38:00Z,7.987331,21.14533,39.724895,,9:38:00 PM,,,,,
33.045055,20.69,2020-08-11T21:38:39Z,8.031219,20.88728,38.07079,,9:38:39 PM,,,,,
33.030872,20.69,2020-08-11T21:38:40Z,8.0440855,20.88394,37.93006,,9:38:40 PM,,,,,
32.859955,19.32,2020-08-11T21:39:20Z,8.033121,19.692616,36.29071,,9:39:20 PM,,,,,
32.863777,19.39,2020-08-11T21:39:21Z,8.032581,19.611818,36.36779,,9:39:21 PM,,,,,
32.83616,18.91,2020-08-11T21:40:01Z,8.040879,18.82599,34.77513,,9:40:01 PM,,,,,
32.83602,19.1,2020-08-11T21:40:02Z,8.041269,18.888542,34.620865,,9:40:02 PM,,,,,
32.83529,18.62,2020-08-11T21:40:41Z,8.042191,18.762428,32.732857,,9:40:41 PM,,,,,
32.835594,18.52,2020-08-11T21:40:42Z,8.04224,18.904724,32.83213,,9:40:42 PM,,,,,
32.83434,19.07,2020-08-11T21:41:22Z,8.044872,18.855799,31.146208,,9:41:22 PM,,,,,
32.83387,18.44,2020-08-11T21:41:23Z,8.045327,18.62977,31.24183,,9:41:23 PM,,,,,
32.826473,18.89,2020-08-11T21:42:02Z,8.055039,18.541506,29.829287,,9:42:02 PM,,,,,
32.826687,18.68,2020-08-11T21:42:03Z,8.054822,18.54842,29.732521,,9:42:03 PM,,,,,
32.804306,18.63,2020-08-11T21:42:42Z,8.0834,18.41232,27.97739,,9:42:42 PM,,,,,
32.708385,17.08,2020-08-11T21:43:21Z,8.1796255,17.317413,26.23217,,9:43:21 PM,,,,,
32.712315,16.92,2020-08-11T21:43:22Z,8.176237,17.368357,26.238918,,9:43:22 PM,,,,,
32.676495,16.78,2020-08-11T21:44:01Z,8.209733,16.772299,24.65594,,9:44:01 PM,,,,,
32.675896,16.52,2020-08-11T21:44:02Z,8.212654,16.798687,24.541014,,9:44:02 PM,,,,,
32.65489,16.56,2020-08-11T21:44:42Z,8.24933,16.328314,23.068209,,9:44:42 PM,,,,,
32.64839,16.2,2020-08-11T21:44:43Z,8.25272,16.241796,22.93905,,9:44:43 PM,,,,,
32.606445,16.04,2020-08-11T21:45:22Z,8.346103,15.782526,22.16207,,9:45:22 PM,,,,,
32.618748,15.35,2020-08-11T21:45:23Z,8.325452,15.892853,22.279053,,9:45:23 PM,,,,,
32.58081,14.44,2020-08-11T21:46:02Z,8.552042,14.638567,19.258617,,9:46:02 PM,,,,,
32.5709,14.19,2020-08-11T21:46:03Z,8.563315,14.637811,19.076645,,9:46:03 PM,,,,,
32.553654,14.36,2020-08-11T21:46:42Z,8.617682,14.36143,17.736233,,9:46:42 PM,,,,,
32.553875,14.67,2020-08-11T21:46:43Z,8.614844,14.488926,17.920017,,9:46:43 PM,,,,,
32.53234,13.26,2020-08-11T21:47:23Z,8.678831,13.575709,16.664757,,9:47:23 PM,,,,,
32.533936,13.8,2020-08-11T21:47:24Z,8.676233,13.561228,16.510359,,9:47:24 PM,,,,,
32.54178,12.85,2020-08-11T21:48:03Z,8.777983,12.728934,14.670553,,9:48:03 PM,,,,,
32.512848,11.47,2020-08-11T21:48:42Z,8.90803,11.618276,13.384781,,9:48:42 PM,,,,,
32.535908,11.79,2020-08-11T21:48:43Z,8.9070835,11.68975,13.144939,,9:48:43 PM,,,,,
32.509945,11,2020-08-11T21:49:23Z,8.956214,11.006516,11.721922,,9:49:23 PM,,,,,
32.509705,11.68,2020-08-11T21:49:24Z,8.955904,11.051019,11.909413,,9:49:24 PM,,,,,
32.47704,10.53,2020-08-11T21:50:03Z,8.980183,10.78713,9.840052,,9:50:03 PM,,,,,
32.481056,10.85,2020-08-11T21:50:04Z,8.976315,10.8565235,10.1386595,,9:50:04 PM,,,,,
32.421906,10.72,2020-08-11T21:50:43Z,9.177322,10.447045,8.859657,,9:50:43 PM,,,,,
32.45655,10.25,2020-08-11T21:50:44Z,9.165654,10.356491,8.626986,,9:50:44 PM,,,,,
32.474186,10.8,2020-08-11T21:51:23Z,9.853816,9.116438,7.4334044,,9:51:23 PM,,,,,
32.58455,10.22,2020-08-11T21:51:24Z,10.048802,8.687071,7.10955,,9:51:24 PM,,,,,
