practical_salinity,nitrate_concentration,time,seawater_temperature,salinity_corrected_nitrate,depth
32.681225,4.0,2020-08-17T08:31:00Z,11.113592,4.228557,7.3550024
32.67992,3.83,2020-08-17T08:31:01Z,11.112632,4.336344,7.466098
32.677177,2.41,2020-08-17T08:31:39Z,11.183635,2.8222904,6.114401
32.683807,2.53,2020-08-17T08:31:40Z,11.179743,2.8068848,6.0502143
34.004116,32.13,2020-08-17T20:41:07Z,7.1646166,33.48797,193.38216
34.00414,32.5,2020-08-17T20:41:08Z,7.164429,33.588398,193.38101
34.00469,32.63,2020-08-17T20:41:46Z,7.162063,33.274673,193.37013
34.004616,32.01,2020-08-17T20:41:47Z,7.162151,33.24254,193.37262
34.004307,32.1,2020-08-17T20:42:26Z,7.164209,33.178616,192.23958
34.004448,32.93,2020-08-17T20:43:05Z,7.1713414,32.869373,190.3218
34.004696,32.26,2020-08-17T20:43:06Z,7.171621,33.03945,190.26915
34.002834,32.15,2020-08-17T20:43:45Z,7.180273,32.918865,188.36328
34.002674,32.19,2020-08-17T20:43:46Z,7.180219,32.936295,188.31099
34.001907,32.79,2020-08-17T20:44:26Z,7.1932783,32.770317,186.37358
34.001972,32.38,2020-08-17T20:44:27Z,7.193559,32.858,186.3184
33.99963,32.78,2020-08-17T20:45:05Z,7.2078195,32.689068,184.42511
33.999245,31.99,2020-08-17T20:45:06Z,7.20776,32.81352,184.37256
34.000736,32.4,2020-08-17T20:45:46Z,7.2203455,32.786976,182.41954
34.001266,32.42,2020-08-17T20:45:47Z,7.2205567,32.81044,182.3684
33.9984,32.2,2020-08-17T20:46:25Z,7.241528,32.694496,180.4887
33.99824,32.53,2020-08-17T20:46:26Z,7.2414265,32.86886,180.43898
33.9967,32.08,2020-08-17T20:47:06Z,7.253373,32.576897,178.5173
33.99719,32.35,2020-08-17T20:47:07Z,7.253328,32.653263,178.468
33.99587,33.13,2020-08-17T20:47:45Z,7.2676377,32.639492,176.58058
33.995968,32.4,2020-08-17T20:47:46Z,7.2678185,32.441338,176.53003
33.994595,31.59,2020-08-17T20:48:26Z,7.282552,32.45551,174.5789
33.994305,31.61,2020-08-17T20:48:27Z,7.2834616,32.462223,174.52347
33.992477,31.96,2020-08-17T20:49:06Z,7.302934,32.29995,172.62152
33.993008,32.03,2020-08-17T20:49:07Z,7.303529,32.306038,172.56718
33.991642,31.67,2020-08-17T20:49:45Z,7.322658,32.24334,170.67215
33.99165,32.12,2020-08-17T20:49:46Z,7.3226757,32.321915,170.62148
33.991524,31.63,2020-08-17T20:50:26Z,7.3577642,32.14538,168.6897
33.99279,31.91,2020-08-17T20:50:27Z,7.358294,32.114826,168.63931
33.990158,31.26,2020-08-17T20:51:07Z,7.398189,31.936632,166.74638
33.990036,31.47,2020-08-17T20:51:08Z,7.3982887,32.038162,166.6926
33.9914,31.44,2020-08-17T20:51:46Z,7.4001436,32.20991,164.88934
33.99104,31.73,2020-08-17T20:51:47Z,7.4021277,32.155693,164.83414
33.987484,31.86,2020-08-17T20:52:26Z,7.411538,32.139877,162.98126
33.987526,31.55,2020-08-17T20:52:28Z,7.41145,32.23654,162.9264
33.985962,31.69,2020-08-17T20:53:06Z,7.4339013,32.22253,161.0937
33.98631,31.67,2020-08-17T20:53:07Z,7.4346013,32.124794,161.0453
33.98496,31.65,2020-08-17T20:53:47Z,7.450197,32.17669,159.18246
33.984386,32.04,2020-08-17T20:53:48Z,7.4510436,32.090492,159.13023
33.98312,31.74,2020-08-17T20:54:26Z,7.4618726,31.936644,157.32202
33.982998,32.04,2020-08-17T20:54:27Z,7.4619555,32.079163,157.26767
33.982555,31.16,2020-08-17T20:55:07Z,7.4704213,32.02739,155.38707
33.98258,31.64,2020-08-17T20:55:08Z,7.471062,31.996351,155.33905
33.98008,31.31,2020-08-17T20:55:46Z,7.485924,31.890617,153.51549
33.980026,31.21,2020-08-17T20:55:48Z,7.486057,32.016373,153.4675
33.97917,30.99,2020-08-17T20:56:26Z,7.491335,31.811203,151.64934
33.979008,32.37,2020-08-17T20:56:27Z,7.4915743,31.834238,151.5988
33.977474,31.76,2020-08-17T20:57:06Z,7.499325,31.93166,149.73172
33.97787,30.71,2020-08-17T20:57:08Z,7.499619,31.775286,149.6766
33.976078,31.22,2020-08-17T20:57:46Z,7.5151243,31.740805,147.83287
33.97563,31.13,2020-08-17T20:57:47Z,7.5161757,31.858711,147.78058
33.971447,30.73,2020-08-17T20:58:27Z,7.5389404,31.685873,145.93604
33.97083,30.58,2020-08-17T20:58:28Z,7.5392156,31.700405,145.88588
33.970642,30.02,2020-08-17T20:59:06Z,7.541775,31.54629,144.06958
33.970524,30.98,2020-08-17T20:59:07Z,7.5417037,31.547836,144.0214
33.968807,30.51,2020-08-17T20:59:47Z,7.547934,31.562944,142.15413
33.969284,31.36,2020-08-17T20:59:48Z,7.547628,31.364037,142.09827
33.968666,31.02,2020-08-17T21:00:27Z,7.5488997,31.636179,140.2149
33.96873,31.64,2020-08-17T21:00:29Z,7.548947,31.564041,140.1595
33.96692,31.01,2020-08-17T21:01:07Z,7.555048,31.559372,138.34682
33.965313,30.84,2020-08-17T21:01:47Z,7.554663,31.439537,136.47076
33.9655,30.58,2020-08-17T21:01:48Z,7.5546393,31.42196,136.41219
33.96007,31.06,2020-08-17T21:02:26Z,7.5663548,31.1937,134.57898
33.95996,31.3,2020-08-17T21:02:27Z,7.566367,31.364538,134.53128
33.957523,31.74,2020-08-17T21:03:06Z,7.562278,31.182198,132.69476
33.95731,31.43,2020-08-17T21:03:07Z,7.56232,31.407059,132.64236
33.956734,31.41,2020-08-17T21:03:47Z,7.561864,31.532396,130.797
33.956936,30.82,2020-08-17T21:03:48Z,7.5617304,31.588732,130.74973
33.95652,30.65,2020-08-17T21:04:26Z,7.55941,31.5765,128.94733
33.95643,31.6,2020-08-17T21:04:27Z,7.559465,31.675594,128.8941
33.951775,31.59,2020-08-17T21:05:06Z,7.5614104,32.08304,127.09429
33.952316,31.58,2020-08-17T21:05:07Z,7.561194,32.240887,127.048836
33.949257,31.31,2020-08-17T21:05:47Z,7.570866,31.88705,125.240364
33.950665,32.04,2020-08-17T21:05:48Z,7.5693493,32.004314,125.19245
33.94629,30.93,2020-08-17T21:06:26Z,7.580641,31.601652,123.4118
33.94789,31.2,2020-08-17T21:06:27Z,7.578249,31.359844,123.36912
33.933273,31.39,2020-08-17T21:07:06Z,7.669652,31.394777,121.61551
33.932247,30.39,2020-08-17T21:07:07Z,7.666649,31.434006,121.568184
33.93404,30.62,2020-08-17T21:07:47Z,7.702085,31.18467,119.75125
33.934265,31.38,2020-08-17T21:07:48Z,7.7052283,31.28059,119.7047
33.932083,30.82,2020-08-17T21:08:26Z,7.728394,31.191296,117.947296
33.931667,30.71,2020-08-17T21:08:27Z,7.7287817,31.141373,117.88916
33.921864,30.43,2020-08-17T21:09:07Z,7.764834,30.980494,116.10863
33.922028,31.19,2020-08-17T21:09:08Z,7.7619467,31.089016,116.05979
33.91744,29.42,2020-08-17T21:09:46Z,7.801471,30.752386,114.29857
33.91606,30.02,2020-08-17T21:09:47Z,7.8022532,30.6355,114.24792
33.915264,29.99,2020-08-17T21:10:27Z,7.8170457,30.389452,112.47493
33.913284,29.88,2020-08-17T21:10:28Z,7.8172336,30.331692,112.427025
33.91258,30.1,2020-08-17T21:11:06Z,7.8412566,30.25985,110.70096
33.91313,29.53,2020-08-17T21:11:07Z,7.840844,30.310373,110.659065
33.914207,30.15,2020-08-17T21:11:46Z,7.85292,29.933666,108.8565
33.898598,28.79,2020-08-17T21:12:25Z,7.916295,29.53451,107.08662
33.898266,29.23,2020-08-17T21:12:27Z,7.9175205,29.575237,107.037056
33.899536,28.84,2020-08-17T21:13:05Z,7.918856,29.597345,105.265045
33.89646,28.63,2020-08-17T21:13:06Z,7.921843,29.510048,105.21501
33.89141,28.64,2020-08-17T21:13:46Z,7.9419227,29.407019,103.40575
33.891247,28.47,2020-08-17T21:13:47Z,7.9423943,29.39949,103.35709
33.8907,28.54,2020-08-17T21:14:25Z,7.9437766,29.30138,101.622696
33.890873,29.5,2020-08-17T21:14:26Z,7.9437857,29.371979,101.57256
33.88651,28.95,2020-08-17T21:15:06Z,7.9565825,29.238617,99.767654
33.886223,28.37,2020-08-17T21:15:07Z,7.9573708,29.237638,99.71074
33.87581,28.62,2020-08-17T21:15:46Z,7.981227,29.046837,97.91804
33.87549,28.94,2020-08-17T21:15:47Z,7.9816227,28.983273,97.87247
33.867256,28.31,2020-08-17T21:16:26Z,8.009771,28.591314,96.117424
33.861115,28.06,2020-08-17T21:17:05Z,8.0291395,28.50581,94.31949
33.860874,28.09,2020-08-17T21:17:07Z,8.029755,28.69935,94.27758
33.852467,27.53,2020-08-17T21:17:45Z,8.046008,28.269896,92.51826
33.85231,27.8,2020-08-17T21:17:46Z,8.046018,28.379944,92.465
33.844845,27.92,2020-08-17T21:18:26Z,8.039246,28.345268,90.66748
33.84734,27.73,2020-08-17T21:18:27Z,8.038152,28.45355,90.62353
33.83624,27.44,2020-08-17T21:19:05Z,8.040102,28.11328,88.8839
33.83726,27.62,2020-08-17T21:19:06Z,8.038961,28.097082,88.82455
33.833393,28.14,2020-08-17T21:19:45Z,8.061519,27.919195,87.219604
33.831924,27.81,2020-08-17T21:19:46Z,8.063662,28.028158,87.158554
33.817123,27.41,2020-08-17T21:20:26Z,8.09028,27.750832,85.41395
33.816666,26.9,2020-08-17T21:20:27Z,8.090699,27.68084,85.35992
33.818363,26.9,2020-08-17T21:21:05Z,8.088795,27.634472,83.65245
33.817535,27.01,2020-08-17T21:21:06Z,8.08998,27.65484,83.602646
33.766434,26.7,2020-08-17T21:21:46Z,8.173751,27.44189,81.870445
33.757553,26.38,2020-08-17T21:21:47Z,8.177915,27.306067,81.81191
33.729683,25.96,2020-08-17T21:22:25Z,8.137309,26.85037,80.16117
33.727306,25.92,2020-08-17T21:22:26Z,8.135119,26.844007,80.1082
33.70995,25.89,2020-08-17T21:23:05Z,8.093803,26.595238,78.40759
33.711697,25.64,2020-08-17T21:23:06Z,8.093317,26.782543,78.349106
33.706814,26.81,2020-08-17T21:23:46Z,8.083764,26.449026,76.679276
33.702347,26.24,2020-08-17T21:23:47Z,8.083938,26.563097,76.63327
33.663883,24.9,2020-08-17T21:24:26Z,8.055409,26.19826,74.939
33.663795,25.87,2020-08-17T21:24:27Z,8.056253,26.09285,74.89828
33.611374,25.36,2020-08-17T21:25:05Z,8.0213175,25.901924,73.14262
33.610775,25.88,2020-08-17T21:25:06Z,8.020975,26.121365,73.08908
33.608063,25.31,2020-08-17T21:25:46Z,8.019487,26.112658,71.329
33.607975,26.08,2020-08-17T21:25:47Z,8.019415,25.962648,71.285446
33.603848,24.63,2020-08-17T21:26:26Z,8.018623,25.80611,69.647316
33.60213,25.53,2020-08-17T21:26:27Z,8.018548,25.882753,69.59734
33.57968,24.97,2020-08-17T21:27:05Z,8.011139,25.749651,67.90816
33.572784,25.39,2020-08-17T21:27:06Z,8.010846,25.751822,67.857285
33.5328,25.54,2020-08-17T21:27:45Z,8.015418,25.287663,66.12027
33.53095,24.93,2020-08-17T21:27:46Z,8.016098,25.275377,66.06861
33.470196,24.55,2020-08-17T21:28:26Z,7.9964576,25.06701,64.39227
33.469982,24.84,2020-08-17T21:28:27Z,7.996541,25.24172,64.34298
33.44722,23.92,2020-08-17T21:29:05Z,7.986696,24.339191,62.65082
33.446312,24.09,2020-08-17T21:29:06Z,7.9860125,24.467064,62.602894
33.30648,24.26,2020-08-17T21:29:45Z,7.918744,24.277784,60.921974
33.30494,23.5,2020-08-17T21:29:46Z,7.9120007,24.15139,60.846577
33.28599,23.53,2020-08-17T21:30:26Z,7.8882594,23.347418,59.2137
33.28871,22.79,2020-08-17T21:30:27Z,7.8884225,23.31018,59.171555
33.240154,23.24,2020-08-17T21:31:06Z,7.876756,23.362186,57.35118
33.240116,22.9,2020-08-17T21:31:07Z,7.8762126,23.447765,57.30826
33.20108,23.18,2020-08-17T21:31:45Z,7.8682947,22.995962,55.652737
33.200134,22.75,2020-08-17T21:31:46Z,7.8681407,23.03117,55.591667
33.1929,22.32,2020-08-17T21:32:26Z,7.8669624,22.850807,53.841164
33.19116,22.31,2020-08-17T21:32:27Z,7.867086,22.750048,53.795845
33.174255,21.95,2020-08-17T21:33:05Z,7.8665204,22.676035,52.140915
33.175045,23.26,2020-08-17T21:33:06Z,7.8665447,22.59841,52.12
33.097385,21.85,2020-08-17T21:33:45Z,7.8704915,22.086725,50.48959
33.093525,21.66,2020-08-17T21:33:46Z,7.871476,22.089277,50.461
33.089806,21.24,2020-08-17T21:34:25Z,7.8732834,21.745302,48.8553
33.086174,21.1,2020-08-17T21:34:27Z,7.8734403,21.786713,48.792236
33.078396,21.48,2020-08-17T21:35:06Z,7.87577,21.618162,47.02024
33.078094,21.19,2020-08-17T21:35:07Z,7.8760285,21.65197,47.00551
33.07022,21.24,2020-08-17T21:35:46Z,7.8786063,21.63074,45.296356
33.069263,21.54,2020-08-17T21:35:47Z,7.878772,21.488638,45.248627
33.052982,20.58,2020-08-17T21:36:25Z,7.8853683,21.5175,43.697235
33.05498,21.23,2020-08-17T21:36:26Z,7.8850937,21.549389,43.708515
33.02355,20.23,2020-08-17T21:37:06Z,7.8955026,21.074621,42.092606
33.01964,21.41,2020-08-17T21:37:07Z,7.895936,21.16632,42.037952
33.005997,21.0,2020-08-17T21:37:46Z,7.9044623,20.816406,40.367245
33.00715,20.71,2020-08-17T21:37:47Z,7.9042373,20.928276,40.353275
32.992676,20.71,2020-08-17T21:38:26Z,7.9109025,20.963444,38.6241
32.99305,20.29,2020-08-17T21:38:27Z,7.9109406,20.887133,38.61319
32.983967,20.82,2020-08-17T21:39:05Z,7.915083,20.862164,37.0421
32.98382,20.67,2020-08-17T21:39:06Z,7.915171,20.684725,37.01644
32.92674,20.57,2020-08-17T21:39:46Z,7.9430294,20.986385,35.34659
32.921104,20.52,2020-08-17T21:39:47Z,7.946914,20.755314,35.303406
32.890186,19.27,2020-08-17T21:40:25Z,7.9653974,19.610153,33.773106
32.888824,19.78,2020-08-17T21:40:26Z,7.965793,19.840528,33.708527
32.854893,19.67,2020-08-17T21:41:05Z,7.9874206,19.285442,32.134945
32.854725,19.22,2020-08-17T21:41:06Z,7.986978,19.391743,32.115593
32.830048,20.07,2020-08-17T21:41:46Z,8.0043955,19.094585,30.275513
32.832306,19.0,2020-08-17T21:41:47Z,8.002832,19.218699,30.2674
32.804817,18.38,2020-08-17T21:42:25Z,8.026494,18.758682,28.710522
32.800823,18.64,2020-08-17T21:42:26Z,8.031181,19.019846,28.573463
32.779285,19.33,2020-08-17T21:43:06Z,8.057383,18.814177,26.973763
32.78025,18.14,2020-08-17T21:43:07Z,8.056342,18.830584,26.937283
32.726963,18.85,2020-08-17T21:43:47Z,8.105349,18.172935,25.312782
32.73024,18.9,2020-08-17T21:43:48Z,8.10289,18.139494,25.325996
32.680626,17.35,2020-08-17T21:44:26Z,8.148439,17.569262,23.63089
32.68169,18.01,2020-08-17T21:44:27Z,8.146894,17.585016,23.62386
32.665943,16.5,2020-08-17T21:45:06Z,8.412883,16.61348,21.8454
32.645805,17.85,2020-08-17T21:45:07Z,8.412246,16.85117,21.780653
32.60179,13.93,2020-08-17T21:45:47Z,8.5967,13.653318,20.341682
32.646248,14.29,2020-08-17T21:45:48Z,8.579063,14.004115,20.30351
32.72624,13.22,2020-08-17T21:46:26Z,9.129473,12.078537,18.644669
32.725605,12.51,2020-08-17T21:46:27Z,9.171215,11.951795,18.521072
32.755775,11.69,2020-08-17T21:47:07Z,9.419686,11.568411,16.923122
32.864212,11.84,2020-08-17T21:47:08Z,9.481337,11.181187,16.804922
32.706257,10.69,2020-08-17T21:47:46Z,9.863075,10.34564,15.368596
32.744247,10.66,2020-08-17T21:47:47Z,9.854571,10.442087,15.25932
32.758217,9.7,2020-08-17T21:48:27Z,10.363294,8.613495,13.612653
32.792004,8.59,2020-08-17T21:48:28Z,10.408582,8.270876,13.515156
32.66483,6.71,2020-08-17T21:49:08Z,10.535168,6.5227814,12.229998
32.689053,6.79,2020-08-17T21:49:09Z,10.520458,6.537291,12.114094
32.70548,3.08,2020-08-17T21:49:47Z,10.922699,3.5931075,10.2197695
32.7051,3.76,2020-08-17T21:49:48Z,10.947848,3.6191008,10.29783
